Question,Answer,Confidence,Last edited time,Reveal
How Is Serverless “Cheaper”?,"In specific cases, serverless can be cheaper than other alternatives since the tasks the serverless service solves does not charges for idling resources.",Confident,"January 16, 2023 12:20 AM",No
What Is Meant By Serverless Event-Driven Architecture?,Architectures that rely on this development model are event-driven because they can connect tasks to event triggers from other services.,Somewhat Confident,"February 1, 2023 11:34 PM",No
What Are Containers?,,,"January 3, 2023 1:47 PM",No
What Is An Image?,,,"January 3, 2023 1:47 PM",No
What Is A Container Repository?,,,"January 3, 2023 1:47 PM",No
What Is ECS?,ECS is an AWS used to create and manage clusters of containers using Docker.,Confident,"February 15, 2023 1:42 AM",No
What Is A Service In ECS?,"A service in ECS is the equivalent of an autoscaling group. It defines the min/max number of tasks that can be ran.

They also determine how new tasks should be placed.",Somewhat Confident,"February 1, 2023 11:43 PM",No
What Is A Task in ECS?,A task is the equivalent of an instance / execution of a task definition.,Somewhat Confident,"February 1, 2023 11:40 PM",No
What Is Fargate?,Fargate is a serverless execution environment for containers. It is a technology that can be used in ECS to run containers without thinking about the underlying infrastructure.,Confident,"January 16, 2023 12:20 AM",No
How Do We Change The Contents Of An Image?,,,"January 3, 2023 1:47 PM",No
What Are Some Use Cases For Containers?,,,"January 3, 2023 1:47 PM",No
What Are Container Repositories Used For?,Container repositories are mainly used for sharing and distributing container images.,,"January 3, 2023 1:47 PM",No
How Does ECS Work?,"ECS is a service that needs to be provided of two things: The container images that are going to be used and the task definitions to understand how to run them.

In case we are going to use EC2 instances we need to indicate the cluster about our infrastructure (EC2 + ELB + ASG).",Not Confident,"January 31, 2023 2:00 AM",No
Why Is Recommended To Use ECS Instead Of Setting Up Docker With EC2?,"It’s recommended because AWS takes care of the responsibility of installling, setting up and upgrading Docker as well as connecting the clusters of containers.",Not Confident,"February 10, 2023 1:14 AM",No
How Does Fargate Pricing Work?,"Fargate has a similar model to EC2. It takes into account hardware settings like vCPU, memory, storage and the time the resources are being used.",Somewhat Confident,"January 16, 2023 12:26 AM",No
What Is A Downside Of Using ECS + EC2?,We are responsible for scaling the clusters of containers.,Not Confident,"February 10, 2023 1:14 AM",No
What Is The Benefit Of Using ECS + EC2 Instead Of Fargate?,We have control over the infrastructure of the clusters.,Not Confident,"February 10, 2023 1:14 AM",No
What Is A Use Case For Using ECS + EC2?,It is recommended when we have spare EC2 instance capacity.,Somewhat Confident,"February 1, 2023 11:33 PM",No
What Is A Benefit of Using Fargate Instead Of Using ECS + EC2?,It is much simpler to use because scaling and monitoring is done for us.,Not Confident,"February 10, 2023 1:13 AM",No
What Is A Use Case For Using Fargate?,It is recommended for teams who wish to focus their time on developing without worrying too much about the infrastructure.,Not Confident,"January 15, 2023 10:34 PM",No
What Is A Downside Of Using Fargate?,It can be more expensive and limited than using EC2 instances.,Not Confident,"February 10, 2023 1:14 AM",No
What Is ECR?,ECR is an AWS used to create and manage container images.,Confident,"January 16, 2023 12:20 AM",No
What Is EKS?,EKS is an AWS used to create and manage clusters of containers using Kubernetes.,Confident,"January 16, 2023 12:20 AM",No
What Is An API?,,,"January 3, 2023 1:47 PM",No
What Is An Interface?,,,"January 3, 2023 1:47 PM",No
What Are Two Examples Of Interfaces?,,,"January 3, 2023 1:47 PM",No
What Is A REST API?,,,"January 3, 2023 1:47 PM",No
What Is A Software API?,,,"January 3, 2023 1:47 PM",No
What Is A HTTP API?,,,"January 3, 2023 1:47 PM",No
What Is Cognito?,Cognito is an AWS used to manage user data across multiple devices.,Confident,"February 15, 2023 1:33 AM",No
What Is AppSync?,AppSync is an AWS used to create serverless GraphQL APIs.,Confident,"January 31, 2023 12:04 PM",No
What Is API Gateway?,API Gateway is an AWS used to create serverless HTTP APIs.,Confident,"February 28, 2023 12:20 PM",No
What Is A User Pool?,A user pool is a directory that grants authentication.,Confident,"February 15, 2023 1:53 AM",No
How Does API Gateway Work?,API Gateway needs to be provided with the API structure and the Lambda functions that needs to be executed.,Not Confident,"January 31, 2023 1:58 AM",No
How Does AppSync Work?,AppSync needs to be provided with the API structure and the data sources.,Not Confident,"January 15, 2023 10:33 PM",No
What Is An Identity Pool?,An identity pool is a directory that grants access to other AWS.,Confident,"February 15, 2023 1:34 AM",No
What Are Simplifying Services?,They are services that create an abstraction or wrapper on top of one or multiple services.,Confident,"January 16, 2023 12:13 AM",No
What Are Some Simplifying Services?,"Amplify, Elastic Beanstalk, Lightsail, AppRunner, Copilot",Archived,"January 16, 2023 2:13 AM",No
What Is Cognito’s Business Model?,Cognito allows us to create a user pool where users can sign in using their credentials (or third-party ones) and their data will be sync up in the cloud.,Not Confident,"January 12, 2023 11:34 PM",No
What Is AppRunner?,AppRunner is an AWS used to simplify the deployment of web applications using ECS and Fargate.,Confident,"March 27, 2023 11:49 AM",No
What Is Lightsail?,Lightsail is an AWS used to simplify the deployment of EC2-based web applications with an Heroku-like experience.,Confident,"January 16, 2023 12:08 AM",No
What Is Amplify’s Business Model?,"Amplify serves as an abstraction on top of multiple AWS like Cognito, DynamoDB, etc. which can be used as parts that are commonly needed when building web applications. It is mostly focused for Front-End developers.",Somewhat Confident,"November 21, 2023 9:35 AM",No
What Is Amplify?,Amplify is an AWS used to simplify the development and deployment of FullStack web applications.,Confident,"February 15, 2023 1:43 AM",No
What Is Elastic Beanstalk?,Elastic Beanstalk is an AWS used to simplify the deployment of EC2-based web applications.,Confident,"January 16, 2023 12:08 AM",No
What Is Copilot?,Copilot is a CLI that attempts to simplify the ECS experience of deploying containers.,Confident,"March 27, 2023 11:48 AM",No
What Kind Of APIs Can Be Built With API Gateway?,"We can create HTTP APIs, REST APIs and Websocket APIs.",Confident,"January 16, 2023 12:19 AM",No
What Kind Of APIs Can Be Built With AppSync?,Standard GraphQL APIs and PubSub APIs.,Somewhat Confident,"January 12, 2023 12:04 AM",No
Where Is Throughput Usually Considered?,Performance testing,Confident,"January 17, 2023 11:44 PM",No
What Happens To Data When Horizontally Scaling?,Data is not consistent across the multiple nodes.,Confident,"January 16, 2023 12:19 AM",No
How Much Can One Vertically Scale A System?,There is a physical limit to how much a machine can be upgraded.,Expert,"January 16, 2023 12:02 AM",No
What Is Scalability Like For Managed Databases?,Using a cloud provider allow us to horizontally / vertically scale databases easily.,Somewhat Confident,"February 1, 2023 11:37 PM",No
How Costly Is A Managed Database?,"Depending on the billing model, a managed database can be pretty cost-effective.",Somewhat Confident,"January 12, 2023 12:02 AM",No
What Is Availability Like For Managed Databases?,Using a cloud provider allow us to have high availability with our database.,Somewhat Confident,"January 4, 2023 3:05 PM",No
How Are Read Replicas Tipically Updated?,They are updated either sync or async by the primary instance.,Confident,"January 16, 2023 12:09 AM",No
Where Are Read Replicas Tipically Located?,They are located in availability zones different than the primary instance.,Confident,"January 15, 2023 11:06 PM",No
What Does Caching Helps With?,Reduces workloads and response times,Confident,"February 15, 2023 1:35 AM",No
What Is An “Application” In Application Caching?,Application caching refers to the three-tier architecture where the application is the middle layer between the user interface and the database.,Expert,"January 15, 2023 11:59 PM",No
What Is The Best Case For Cache-Aside?,The best scenario only involves one async operation.,Confident,"January 17, 2023 11:44 PM",No
How Does Cache-Aside Handle Database Failure?,Cache-aside is resilient to database failures if data is cached.,Somewhat Confident,"February 1, 2023 11:37 PM",No
What Is The Worst Case For Cache-Aside?,The worst case  scenario involves three async operations.,Confident,"February 15, 2023 1:35 AM",No
How Does Cache-Aside Handle Cache Failures?,Cache-aside is resilient to cache failures however response time is affected.,Somewhat Confident,"January 11, 2023 2:10 PM",No
What Is Recommended To Use When Using Techniques Such As Cache-Aside Or Read-Trough?,It is recommended to be used with a TTL.,Somewhat Confident,"February 1, 2023 11:36 PM",No
What Is The Best Scenario For Read-Through?,Best case scenario involves 1 read operation.,Confident,"January 31, 2023 11:56 AM",No
How Does Read-Through Handles Database Failures?,Read-through is resilient to database failures if data is cached,Somewhat Confident,"January 11, 2023 2:09 PM",No
How Does Read-Through Handles Cache Failures?,Read-through cannot handle caching failures.,Somewhat Confident,"February 1, 2023 11:34 PM",No
How Does Read-Through Handles Cache Inconsistency?,Consistency can be guaranteed if used in conjunction with write-through strategy.,Archived,"January 16, 2023 2:27 AM",No
What Is A Use Case For Read-Through?,Works for throughput workloads that require frequent reads.,Somewhat Confident,"February 9, 2023 12:46 AM",No
What Happens When Horizontally Scaling With Read-Through?,Cache nodes do not have data until read. This happens when scaling or restoring from failures.,Somewhat Confident,"February 1, 2023 11:34 PM",No
What Is The Worst Scenario For Read-Through?,Worst case scenario involves 2 read and 1 write operation.,Confident,"February 15, 2023 1:34 AM",No
What Is The Best Case For Write-Behind?,Best case scenario involves 1 write operation.,Archived,"January 16, 2023 2:17 AM",No
How Is Latency In Write-Behind Compared To Write-Through?,Write-behind offers lower latency compared to https://www.notion.so/Write-through-Caching-Strategy-e6dabc31d019483eb434bea9966076f1.,Somewhat Confident,"January 4, 2023 2:01 PM",No
How Does Write-Behind Handle Cache Failures?,Write-behind is not resilient to cache node failures. There can be data loss.,Archived,"January 16, 2023 2:21 AM",No
How Does Write-Behind Deal With Stale Data?,Cache is always fresh.,Archived,"January 16, 2023 2:23 AM",No
How Does Write-Behind Handle Database Failures?,Write-behind cannot handle database failures.,Archived,"January 16, 2023 2:20 AM",No
How Does Write-Through Handles Cache Failures?,Write-through is not resilient to cache node failures.,Archived,"January 16, 2023 2:21 AM",No
How Does Write-Through Handles Database Failures?,Write-through is not resilient to database failures.,Archived,"January 16, 2023 2:20 AM",No
How Does Cache Behave When Using Techniques Such As Write-Through or Write-Behind ?,Cache will be always fresh.,Somewhat Confident,"February 1, 2023 11:33 PM",No
What Is The Best Case For Write-Through?,Best case scenario involves 2 write operations.,Archived,"January 16, 2023 2:17 AM",No
How Does Write-Through Handles Cache Inconsistency?,Consistency can be guaranteed if used in conjunction with https://www.notion.so/Read-through-Caching-Strategy-aef11b5acf564603b5d300f5b15e9110 strategy or https://www.notion.so/Cache-Aside-Caching-Strategy-12dff5f78d53483f96032dbda4f67db7.,Archived,"January 16, 2023 2:27 AM",No
How Is Latency In Write-Through?,High latency. However users tend to accept higher response times with write operations.,Somewhat Confident,"February 1, 2023 11:32 PM",No
What Happens When Horizontally Scaling With Write-Through?,Cache nodes do not have data until written. This happens when scaling or restoring from failures.,Somewhat Confident,"February 1, 2023 11:37 PM",No
What Is A Benefit Security Of Using A Load Balancer?,"Since the load balancer acts like a proxy, it also provides the security benefits of hiding the architecture implementation details.",Somewhat Confident,"February 9, 2023 12:50 AM",No
How Does A Load Balancer Affects Scalability?,Using a load balancer can grant horizontal scalability.,Somewhat Confident,"February 1, 2023 11:31 PM",No
How Does A Load Balancer Affects Availability?,Using a load balancer can grant higher availability.,Somewhat Confident,"February 9, 2023 12:50 AM",No
What Is SQS?,SQS is an AWS used to integrate two different applications using serverless message queues.,Confident,"January 16, 2023 12:08 AM",No
What Is SNS?,SNS is an AWS used to integrate different applications using serverless pubsub.,Confident,"March 15, 2023 2:54 AM",No
What Is Amazon MQ?,Amazon MQ is an AWS used to create and manage open source message brokers.,Confident,"January 16, 2023 12:08 AM",No
What Is EventBridge?,EventBridge is an AWS used to integrate different applications using serverless event buses.,Confident,"March 15, 2023 2:54 AM",No
What Is CloudMap?,CloudMap is an AWS used to perform service discovery on the cloud with our AWS resources.,Confident,"January 16, 2023 12:08 AM",No
What Is SES?,SES is an AWS used to create and send transactional emails to customers.,Confident,"January 16, 2023 12:08 AM",No
How Does Communication Work When Using Integration Services?,Communication usually works by passing messages from one “proccess” to another. The specifics of how messages are routed and handled depends on the message-passing technique.,Somewhat Confident,"February 16, 2023 2:37 AM",No
What Is An Message Queue?,A message queue is a message-passing technique where a queue is used for communication between two “processes”.,Somewhat Confident,"February 9, 2023 12:43 AM",No
What Is Pub/Sub?,Pubsub is a message-passing technique where a notification system is used to for communication between “processes”.,Somewhat Confident,"March 8, 2023 11:58 AM",No
How Does EventBridge Work?,"EventBridge provides “event routing”. It listens for events and using a set of provided “rules”, it determines which “targets” should receive an incoming event.

These “rules” are based on the event data structure or schedule.",Not Confident,"February 10, 2023 1:08 AM",No
What Does SNS And EventBridge Help With?,"- When we need need realtime notifications in our applications.
- When we need to send the same message to multiple subscribers / consumers.",Not Confident,"January 31, 2023 1:56 AM",No
What Does SQS Help With?,"- Decoupling and scaling microservices.
- Sending messages where order is guaranteed and considered.",Not Confident,"February 2, 2023 11:29 PM",No
When Should I Pick Step Functions?,When you need certain type of orchestration between your Lambda functions (microservices),Not Confident,"February 2, 2023 11:29 PM",No
What Are Integration Services?,An integration service is an intermediary to perform communication between different “processes”.,Confident,"March 14, 2023 11:42 AM",No
What Is A Task Definition?,"A task definition is the equivalent of a blueprint. They describe which containers compose our application.

Task definitions are represented as JSON files which contain the following information: Number of containers, ports to use, which volumes should be used, CPU, memory, etc.",Somewhat Confident,"February 9, 2023 12:45 AM",No
What Is Database Replication Used For?,Offloading traffic for reads or analytics.,Somewhat Confident,"February 9, 2023 12:48 AM",No
What Aspects Can We Configure With SQS?,"- Message order (Standard or FIFO)
- Queue settings (timeouts, retention period, delivery delay, size, polling time, etc.)
- Encryption.
- Access policies.",Not Confident,"June 2, 2023 4:21 PM",No
How Does PubSub Works?,“Publishers” will publish messages to a “topic” and the topic will push the message to all the “subscribers”.,Somewhat Confident,"February 9, 2023 12:44 AM",No
How Coupled Are Subscribers To Producers When Using PubSub?,They are loosely coupled. Publishers do not know where the message is being used and subscribers do not know about producers.,Confident,"January 17, 2023 11:44 PM",No
How Is Debugging In PubSub systems?,PubSub systems that suffer from system-wide bugs can be difficult to diagnostic.,Expert,"January 16, 2023 12:01 AM",No
When Is PubSub not recommended?,"PubSub is not recommended for:
- Small systems
- Media streaming solutions.",Not Confident,"January 15, 2023 10:24 PM",No
What Do PubSub Systems Enable?,"Thanks to topics publishing messages immediatly to all subscribers, they allow for real-time communication.",Not Confident,"January 15, 2023 10:30 PM",No
How Elastic And Scalable Is Using PubSub?,It is considered elastic and with high scalability since publishers and subscribers can be increased / decreased accordingly and independently.,Somewhat Confident,"February 9, 2023 12:45 AM",No
When Is A Message Queue Not Recommended?,"A message queue is not recommended:
- For real time communication.
- For broadcasting purposes (because the messages can only processed by one “process”).",Not Confident,"February 13, 2023 11:42 AM",No
What Mantainance Costs Does Using A Messsage Queue Brings?,"A message queue has to be created, configured with the “processes” and monitored.",Archived,"February 1, 2023 11:31 PM",No
How Coupled Are Subscribers To Producers When Using A Message Queue?,They are loosely coupled. Publishers do not know where the message is being used and subscribers do not know about producers.,Confident,"January 17, 2023 11:44 PM",No
How Is The Message Order In A Message Queue?,A message queue is highly reliable because messages are only processed once and in the right order (FIFO).,Somewhat Confident,"February 1, 2023 11:30 PM",No
What Does “Process” Mean In The Context Of Integration Services?,"The term “proccess” is a synonym to “interface”, “module”, “application”, “program” or “system nodes”. It really depends on the concrete example.",Confident,"January 15, 2023 11:01 PM",No
What Is An Event Bus?,An event bus is a software architecture component used to perform communication between different “processes”.,Somewhat Confident,"March 1, 2023 11:34 AM",No
Which Technique Does An Event Bus Use Under The Hood?,Event buses use the publish/subscribe pattern however the way its implemented it connects all producers and subscribers.,Somewhat Confident,"January 11, 2023 11:53 AM",No
What Is “Event Routing” In An Event Bus?,The event bus takes the output events from a producer and routes it to any consumer which needs them as input. This features solves the desicion of no having no direct line of communication between “processes”.,Not Confident,"January 16, 2023 11:54 PM",No
What Is The Message Order In An Event Bus?,Event order is not guaranteed when using an event bus.,Somewhat Confident,"February 1, 2023 11:29 PM",No
What Other Features Does An Event Bus Usually Provides?,Event buses can also provide event persistence and provide the history to any “process” that happens to disconnect and reconnect.,Somewhat Confident,"February 1, 2023 11:30 PM",No
What Is Something EventBridge Has That Sets Its Apart From SNS?,"- The ability to route events using the event data itself.
- Integration with multiple SaaS providers.
- Cron-like scheduled events.",Not Confident,"February 20, 2023 9:31 PM",No
What Are Step Functions?,Step Functions is an AWS used to create serverless workflows for distributed applications.,Somewhat Confident,"January 16, 2023 12:25 AM",No
When Does The Worst Case Scenario Occur For Read-Through?,This happens when a key is looked up for the first time or has been removed (TTL).,Not Confident,"January 24, 2023 2:04 AM",No
How Can You Bypass Lamba's Timeout Limit?,It is recommended to use ECS as an alternative to bypass Lamba’s execution time.,Not Confident,"January 16, 2023 11:59 PM",No
How Is Cache Integrity Enforced When Applying Application Caching Techniques?,Depending on the technique that is being used. It is usually paired with a conter-part techniques. If using a read-technique then it is paired with a write one and viceversa.,Somewhat Confident,"March 9, 2023 2:47 AM",No
,,,"January 16, 2023 2:25 AM",No
